PID,SFT,W,P,S,B,F,G,T7,T3,U,Fi,BW,BP,BS
88ec0b23-5558-4514-8768-33417c48d93b,0.42,0.0,0.0,0.14285714285714285,5.0,4.571428571428571,4.833333333333333,30.66,30.596666666666668,2,4,0,0,0
1ab9ca39-147b-495e-974a-c27bdcbeea61,0.11,0.0,0.0,0.0,2.0,3.5714285714285716,3.5714285714285716,30.544285714285714,30.71,0,5,0,0,0
82f021d1-d4e2-4f1d-99dd-89f2d6e4d443,0.04,0.0,0.0,0.0,4.285714285714286,4.428571428571429,4.285714285714286,30.638571428571428,30.826666666666668,3,6,0,0,0
bd008897-5912-49a0-bee7-1eb0d5856793,0.00,0.0,0.0,0.0,3.142857142857143,4.571428571428571,4.0,30.437142857142856,30.663333333333334,3,8,0,0,0
1effe4dc-34c1-42fc-a7bf-b8a08568942f,0.59,0.0,0.14285714285714285,0.0,4.857142857142857,3.857142857142857,4.428571428571429,30.56142857142857,30.596666666666668,0,1,0,0,0
d7be823a-7a61-4918-a1d9-02ef5993fffb,0.48,0.0,0.14285714285714285,0.0,5.428571428571429,4.428571428571429,4.571428571428571,30.524285714285714,30.636666666666667,0,2,0,0,0
4322dac5-c69a-4430-8e0d-14c8fe65fafa,0.19,0.0,0.0,0.14285714285714285,5.571428571428571,2.4285714285714284,4.0,30.447142857142858,30.286666666666665,0,3,0,0,0
915a60f6-e69c-459e-a2b2-738d0132b14e,0.00,0.0,0.0,0.0,6.428571428571429,3.0,3.2857142857142856,30.49,30.463333333333335,0,5,0,0,0
df1353d4-a12c-4435-b717-91cc179fc21a,0.11,0.0,0.0,0.0,4.428571428571429,4.857142857142857,3.2857142857142856,30.822857142857142,30.536666666666665,0,6,0,0,0
d6133222-d360-43bc-8d67-76aba9d73ff9,0.46,0.0,0.0,0.0,6.428571428571429,4.0,3.142857142857143,30.55857142857143,30.656666666666666,0,8,0,0,0
39a4f21d-f4cf-4d6d-b1de-2bb41debca7a,0.14,0.14285714285714285,0.0,0.0,2.7142857142857144,2.0,2.0,30.734285714285715,30.286666666666665,0,1,0,0,0
dd260280-dc4c-4168-aecb-b37182bafc33,0.10,0.0,0.0,0.14285714285714285,3.2857142857142856,4.428571428571429,4.142857142857143,30.65142857142857,30.476666666666667,0,3,0,0,0
86ad3b5d-8de4-4bfa-8dd4-2789f2ec9346,0.23,0.0,0.0,0.0,4.428571428571429,4.714285714285714,4.428571428571429,30.465714285714284,30.523333333333333,1,4,0,0,0
