@relation Metric
@attribute PID string
@attribute SFT numeric
@attribute W numeric
@attribute P numeric
@attribute S numeric
@attribute B numeric
@attribute E numeric
@attribute St numeric
@attribute F numeric
@attribute G numeric
@attribute T7 numeric
@attribute T3 numeric
@attribute U numeric
@attribute A numeric
@attribute Se {M, F}
@attribute LB numeric
@attribute PF numeric
@attribute TF numeric
@attribute RHF numeric
@attribute Fi numeric
@data
c6ddab75-5575-456a-91d8-188c0df77344,0.0000,0.0000,0.0000,0.0000,4.6667,4.6667,5.0000,4.3333,2.6667,31.5333,31.5333,0,922,F,62.5000,1.0000,0.0000,0.0000,2
3e1dd129-110b-4ee9-872e-cc7c17053af4,0.4200,0.2500,0.0000,0.0000,2.2500,1.2500,1.7500,2.0000,3.0000,30.7850,30.8200,0,944,M,68.7500,0.0000,0.0000,0.9937,1
a540e0c0-fdc8-42af-8a6a-d359f1705f8c,1.2100,0.3333,0.0000,0.0000,2.0000,1.3333,1.3333,1.0000,2.6667,30.7233,30.7233,0,912,F,59.6667,1.0000,1.0000,1.0000,8
a3964545-3a33-45ff-a68d-b9d454dc9bb1,0.7300,0.0000,0.0000,0.0000,4.7500,4.5000,4.5000,4.5000,3.0000,31.1375,31.0567,0,1313,F,62.2500,1.0000,1.0000,0.0063,7
e0cdc11e-68b5-4872-b351-7d6875203e12,0.0000,0.0000,0.0000,0.3333,5.0000,5.0000,5.6667,5.6667,1.3333,31.7033,31.7033,0,1259,F,65.1667,0.3333,0.0000,0.0000,6
bb75628b-6786-440d-852f-56a024b02699,1.1200,0.0000,0.0000,0.2000,3.2000,2.0000,2.8000,3.8000,3.2000,31.1800,31.5800,0,874,M,70.6000,0.0000,0.9848,0.7125,5
e69a341a-8806-4350-8d68-287bf856f882,0.7200,0.0000,0.0000,0.0000,4.2500,2.5000,2.5000,3.5000,2.5000,31.2100,31.1767,0,782,M,67.1250,0.1550,1.0000,0.0322,4
03f3fb7c-6440-4223-a80f-40b66268db11,0.7000,0.0000,0.0000,0.2500,3.2500,6.7500,5.2500,4.0000,3.0000,31.0275,31.0167,0,838,F,55.0000,0.0000,0.0000,0.9779,3
2e5a49e3-71ed-491b-ac43-91cbb164c1fa,1.1300,0.0000,0.0000,0.2500,2.7500,5.7500,6.0000,2.7500,4.0000,30.9775,31.1567,0,1197,F,63.7500,1.0000,0.8774,0.9963,2
5cb1a611-671e-4b68-a535-ebadbbbd74d3,1.0300,0.0000,0.0000,0.0000,3.7500,3.5000,2.5000,2.7500,1.7500,31.0450,31.0033,0,1267,F,66.8750,1.0000,1.0000,1.0000,1
185b92c0-92a1-471f-8db3-5bf16c62831f,0.0000,0.2500,0.0000,0.0000,3.2500,2.5000,2.0000,2.0000,0.7500,31.1950,31.1633,0,1181,F,66.6250,0.8333,0.0000,0.0000,5
fe23c8fb-6e02-49a1-a301-293b100417c5,0.0500,0.2500,0.0000,0.0000,4.7500,2.5000,2.0000,3.0000,1.5000,31.0100,31.0333,0,934,M,69.3750,0.8667,0.9016,0.7326,7
7c86c02f-149f-4ee7-8caa-eb0b47e95e81,0.1200,0.0000,0.0000,0.0000,2.6667,5.6667,5.0000,4.3333,1.3333,31.1100,31.1100,0,1046,F,67.8333,0.2381,1.0000,1.0000,6
47bb1f26-849c-4ed0-973c-38abf05312b0,0.1200,0.0000,0.2500,0.0000,3.5000,6.2500,4.5000,3.0000,3.0000,31.2275,31.3467,0,627,M,65.0000,1.0000,0.2571,0.5348,4
39d118e6-2da6-497c-a911-2a9204022265,0.7500,0.2000,0.0000,0.0000,4.2000,4.0000,4.4000,3.0000,1.6000,31.0440,31.4600,0,861,F,60.9000,0.5000,0.7263,0.8584,3
1481668f-fa7f-4b20-b2ae-46a0437bfa46,0.2500,0.0000,0.0000,0.0000,2.2000,2.2000,2.4000,3.6000,2.2000,31.3540,31.6900,0,1240,F,59.9000,1.0000,1.0000,1.0000,2
fa4475d4-bc98-4445-b01f-be5ca5300a86,0.7700,0.2500,0.0000,0.0000,3.0000,2.5000,2.2500,1.5000,3.0000,30.5875,30.5400,0,1065,F,61.7500,1.0000,0.9784,0.9227,1
d79c5fa6-b53a-4b16-9382-f026670f2d7c,0.3900,0.0000,0.0000,0.2000,5.0000,2.8000,3.0000,3.0000,1.6000,30.9960,31.1267,0,615,M,76.5000,0.1931,0.9167,0.9275,7
ecd7dd9f-c564-4bdb-a604-cda2bf734945,0.2100,0.2500,0.0000,0.0000,3.2500,3.7500,3.5000,2.7500,3.0000,30.7875,30.8100,0,959,F,64.2500,1.0000,0.0000,0.0000,6
9050985b-599f-4303-9914-d3964b8c50dc,0.3600,0.0000,0.3333,0.0000,3.6667,1.6667,1.6667,2.6667,1.3333,30.8733,30.8733,0,946,M,70.6667,0.5407,0.7520,0.0000,5
d0166c58-4d2d-4430-a65f-d2508100aee7,0.0900,0.0000,0.0000,0.2500,6.0000,6.0000,5.2500,2.0000,2.5000,30.9675,31.0267,0,1264,F,55.3750,0.0000,0.0415,0.0643,4
4946c7c5-7ac7-45f2-9e45-9aa02a50db52,0.2100,0.0000,0.0000,0.0000,3.2000,2.4000,2.6000,3.6000,2.0000,30.9560,31.0733,0,1006,M,64.4000,0.3333,0.6252,0.0657,3
fd0e9e87-3f97-4882-9257-19d0bfa94f82,0.0000,0.0000,0.0000,0.0000,4.8000,2.0000,2.0000,3.6000,1.8000,31.1960,31.3667,0,845,F,65.2000,0.7500,0.4527,0.0434,2
40c759d8-5430-4056-ab79-6207bdb1aaf5,0.4900,0.0000,0.0000,0.2500,5.2500,4.2500,4.0000,2.5000,2.0000,30.8775,31.0433,0,615,F,63.2500,0.0000,0.5221,0.6105,1
778c2101-ecf8-4239-bef1-1d65301616e7,0.0000,0.3333,0.0000,0.0000,5.0000,2.6667,1.3333,2.0000,2.0000,31.0533,31.0533,0,779,M,67.1667,0.1250,0.0000,0.0000,8
8af0393c-e44e-47f1-a9bd-d9111220af7d,0.6900,0.3333,0.0000,0.0000,5.0000,1.3333,2.6667,3.0000,1.0000,30.6733,30.6733,0,841,M,72.8333,0.0000,1.0000,1.0000,7
9aa71590-513f-4977-aa3e-d49391c9dadd,0.0300,0.3333,0.0000,0.0000,4.6667,2.0000,3.6667,3.6667,2.0000,31.0400,31.0400,0,598,F,58.0000,0.0000,0.0000,0.7381,6
65c83266-e15b-4eff-bca3-c61b2b2cf755,0.3100,0.0000,0.0000,0.3333,4.0000,3.0000,2.3333,2.0000,1.0000,30.9367,30.9367,0,1264,F,67.0000,0.5000,1.0000,1.0000,5
69c90b79-0962-43bb-bcb9-3d881dab1466,0.0100,0.0000,0.3333,0.0000,3.6667,4.0000,4.3333,4.6667,2.6667,31.2833,31.2833,0,835,M,68.6667,0.0000,0.0000,1.0000,4
c6834799-6899-4262-b092-a2152818c0c6,0.0700,0.3333,0.0000,0.0000,5.3333,5.6667,4.6667,1.6667,2.0000,30.8567,30.8567,0,1260,F,55.1667,0.1429,0.9962,1.0000,3
4a67cfe8-c543-4804-8ae5-20461e2a6a46,0.6900,0.0000,0.0000,0.0000,3.7500,2.7500,4.0000,4.2500,3.0000,31.1825,31.5233,0,762,M,75.8750,0.0000,0.1753,0.4431,2
e767b924-14c0-4389-a467-8544ee46ecbd,0.1700,0.2500,0.0000,0.0000,5.2500,2.7500,2.5000,3.2500,3.0000,31.1675,31.1033,0,871,M,74.3750,0.6659,0.6446,0.1349,1
31325cf7-6408-4ed8-84ab-0e72dedf6d99,0.2200,0.0000,0.0000,0.3333,7.0000,3.3333,2.3333,2.6667,1.0000,30.9567,30.9567,0,681,F,67.8333,1.0000,1.0000,1.0000,7
637dd0e1-111c-4b3a-b7b6-a2a089443419,0.2000,0.0000,0.0000,0.0000,5.3333,5.0000,3.6667,3.6667,2.3333,30.9600,30.9600,0,826,M,71.6667,0.0000,0.8770,0.0000,6
